** = proposed,,,Beam Params,,,Detector Params,,,,,,,,,,,
Experiment Name,Class,Source(s),Beam Particle,Beam Energy (GeV),"POT/EOT
(planned or largest dataset)
or Runtime",Baseline (m),Detector Tech,Detector Material,Detector Mass (t),Detector Mass [FIDUCIAL] (t),"Detector Volume
(box: hxwxl)",Energy Threshold,Location,Status,Reference,Anomalies?,Notes
SHiP**,Beam Target,CERN SPS,proton,400,2.00E+20,70/120,"Emulsion film, MRPC or Scintillator",?,8t/?,?,?,?,CERN,Future,https://arxiv.org/pdf/1504.04855,,
BEBC,Beam Target,CERN SPS,proton,400,2.72E+18,404,,,,,3.57 × 2.52 × 1.85,,CERN,Complete,https://arxiv.org/pdf/2208.00416,,"copper target
aka CERN WA66"
NuTeV,Beam Target,Tevatron,proton,800,2.54E+18,1400,Iron Scintillator/Calorimeter,Fe,690,,,,Fermilab,Complete,https://arxiv.org/pdf/hep-ex/9908011,,Beryllium-oxide target
PS191,Beam Target,CERN SPS,proton,19.2,8.60E+18,115,,,,,17m x 10m,,CERN,Complete,https://arxiv.org/pdf/2112.06800,,
CCFR,Beam Target,,,,,,,,,,,,,,https://www.nevis.columbia.edu/ccfr/index.html#contents,,
PandaX-4T,Dark Matter Detector,"Environmental nu, DM Halo, etc",N/A,N/A,N/A,,LXe,LXe,,,,0.44 keVnr / 0.02 keVee,,Running,,,
PandaX-II,Dark Matter Detector,"Environmental nu, DM Halo, etc",N/A,N/A,N/A,,LXe,LXe,,,,,,,,,
XENON1T,Dark Matter Detector,"Environmental nu, DM Halo, etc",N/A,N/A,N/A,,,LXe,,,,200 eV,,Running,,,
SuperCDMS,Dark Matter Detector,"Environmental nu, DM Halo, etc",N/A,N/A,N/A,,,,,,,,SLAC,,,,
LZ,Dark Matter Detector,"Environmental nu, DM Halo, etc",N/A,N/A,N/A,,LXe-TPC,LXe,7,5.6,,,,,https://arxiv.org/abs/1703.09144,,
MADMAX,Dark Matter Detector,"Environmental nu, DM Halo, etc",N/A,N/A,N/A,,,,,,,,,,,,
LEGEND,Dark Matter Detector,"Environmental nu, DM Halo, etc",N/A,N/A,N/A,,,,,,,,,Future,,,
SABRE,Dark Matter Detector,"Environmental nu, DM Halo, etc",N/A,N/A,N/A,,,,,,,,,Future,,,
KATRIN,Isotope,Tritium Beta Decay,,,,,,,200,,,,,,https://arxiv.org/abs/2103.04755,,Measurement on upper bound of neutrino mass
BEST,Isotope,51Cr,,,,,,Ga,,,,,,,,Yes,
KM3NeT/ARCA,Neutrino Observatory,High Energy Astrophysical Neutrinos,N/A,N/A,N/A,,,seawater,,,,60 TeV,"Capo Passero, Italy",Future,https://iopscience.iop.org/article/10.1088/0954-3899/43/8/084001,,
KM3NeT/ORCA,Neutrino Observatory,Atmospheric Neutrinos,N/A,N/A,N/A,Earth,Water cherenkov,seawater,,,7*10^6 m^3,~GeV,"Toulon, France",Future,"https://iopscience.iop.org/article/10.1088/0954-3899/43/8/084001
https://arxiv.org/pdf/2501.11336",,
IceCube,Neutrino Observatory,Astrophysical/Atmospheric Neutrinos,N/A,N/A,N/A,,Ice Cherenkov,Ice,,,,,,,,Yes,
GALLEX,Neutrino Observatory,"Solar, 51Cr",,,,,Gallium Liquid Scintillator,Ga,30,,,,LNGS,Complete,,Yes,
SAGE,Neutrino Observatory,"Solar, 51Cr",,,,,Gallium Liquid Scintillator,Ga,50,,,,,Complete,,Yes,
Super-K,Neutrino Observatory,"accelerator, Atmospheric, solar, cosmic",,,,,cherenkov,,,,,,"Mount Ikeno, Japan",Complete,,,
HYPER-K,Neutrino Observatory,"J-PARC, Atmosphere, Solar, cosmic, SN",,,,,Water cherenkov,,,,,,,Future,,,
Borexino,Neutrino Observatory,Solar/Atmospheric,,,,,Liquid Scintillator,Gd-LS,~300t,,,,"Gran Sasso, Italy",Running,,,
JUNO,Neutrino Observatory,,,,,,,,,,,,,,,,
DUNE-FD,Neutrino Observatory,"LBNF, atmosphere",,120,,,LAr-TPC,LAr,40000,40000,,,,Future,,,
DAYA-BAY,Reactor,,,,,,,,,,,,,,,,
Neutrino-4,Reactor,Reactor,,,,10,,Gd-LS,,,,,,,,Yes,
MINER,Reactor,NSC Research Reactor,,,,4,,Ge,,,,,,Running,,,
CONNIE,Reactor,,,,,,,,,,,,,Future,,,
CONUS,Reactor,,,,,,,,,,,,,Future,,,
nucleus,Reactor,,,,,,,,,,,,,Future,,,
